,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
MultinomialNB,0.9336,0.9286328460877042,1.0,0.9629959875167187,0.5117647058823529,1.0,2160,166,174,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2160,0,340,0
