,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
MultinomialNB,0.6103896103896104,0.6666666666666666,0.5,0.5714285714285715,0.7297297297297297,0.5,20,10,27,20
GaussianNB,0.8701298701298701,0.875,0.875,0.875,0.8648648648648649,0.875,35,5,32,5
SVC,1.0,1.0,1.0,1.0,1.0,1.0,40,0,37,0
