,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
MultinomialNB,0.796875,0.8409090909090909,0.7474747474747475,0.7914438502673797,0.8494623655913979,0.7474747474747475,74,14,79,25
GaussianNB,0.9270833333333334,0.956989247311828,0.898989898989899,0.9270833333333334,0.956989247311828,0.898989898989899,89,4,89,10
SVC,1.0,1.0,1.0,1.0,1.0,1.0,99,0,93,0
