Explainer,Model,Dataset,AB,score,score_bottom,score_top,kendall,random,noise,Skew,Samples,HC,ConfVars
ShapExact,FauxModel,0_vars_corr_0HC_n100.csv,A,2.525031011873117,0.13941686244684137,0.15635339517531527,0.3333333333333334,0.7542816238332725,0.0,0.5,100.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n1000.csv,A,2.6984927231967677,0.09619433867148777,0.03278843334446806,0.6666666666666669,0.6991981128100976,0.0,0.5,1000.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n200.csv,A,2.6975549581790985,0.12572838612698253,0.05819128100040152,0.3333333333333334,0.7187029035824543,0.0,0.5,200.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n300.csv,A,2.8063209744926163,0.09190244373871484,0.057862679891955184,0.3333333333333334,0.7468954534555037,0.0,0.5,300.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n400.csv,A,3.020337032433287,0.07319162934806686,0.06399443137542488,0.0,0.8085970562905155,0.0,0.5,400.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n500.csv,A,2.8333731115530822,0.0681140945912532,0.10602415662596906,0.0,0.7964692838306734,0.0,0.5,500.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n600.csv,A,2.755583056014358,0.08971508824849324,0.11255556342112834,0.3333333333333334,0.7795890375019798,0.0,0.5,600.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n700.csv,A,2.90345881209959,0.07581268386094137,0.06038082875633129,0.0,0.7746065676276432,0.0,0.5,700.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n800.csv,A,2.8460259755329167,0.10511665563529679,0.07657350104050156,0.3333333333333334,0.7717479223913234,0.0,0.5,800.0,0.0,0.0
ShapExact,FauxModel,0_vars_corr_0HC_n900.csv,A,2.791654200139832,0.1463663971923944,0.05708612812597513,0.6666666666666669,0.7413530069368176,0.0,0.5,900.0,0.0,0.0
ShapExact,FauxModel,1_vars_corr_1HC_n100.csv,A,2.7943034670008355,0.12783901963478397,0.11265798181223441,0.6666666666666669,0.7915735749649577,0.0,0.5,100.0,1.0,1.0
